source,drill_id,raw_path,output_path,image_width,foreground_left,crop_start_green,head_end_blue,crop_end_exclusive,available_len,left_pad,output_shape
data,0050,datasets\original\data\normal\drill-0050-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0050-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0051,datasets\original\data\normal\drill-0051-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0051-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0052,datasets\original\data\normal\drill-0052-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0052-0.2410_37_37_296-34.raw,296,25,157,180,181,24,0,"24,37,37"
data,0053,datasets\original\data\normal\drill-0053-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0053-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0054,datasets\original\data\normal\drill-0054-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0054-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0055,datasets\original\data\normal\drill-0055-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0055-0.2410_37_37_296-34.raw,296,27,157,180,181,24,0,"24,37,37"
data,0056,datasets\original\data\normal\drill-0056-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0056-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0057,datasets\original\data\normal\drill-0057-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0057-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0058,datasets\original\data\normal\drill-0058-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0058-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0059,datasets\original\data\normal\drill-0059-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0059-0.2410_37_37_296-34.raw,296,25,157,180,181,24,0,"24,37,37"
data,0060,datasets\original\data\normal\drill-0060-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0060-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0061,datasets\original\data\normal\drill-0061-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0061-0.2410_37_37_296-34.raw,296,25,157,180,181,24,0,"24,37,37"
data,0062,datasets\original\data\normal\drill-0062-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0062-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0063,datasets\original\data\normal\drill-0063-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0063-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0064,datasets\original\data\normal\drill-0064-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0064-0.2410_37_37_296-34.raw,296,25,157,180,181,24,0,"24,37,37"
data,0065,datasets\original\data\normal\drill-0065-0.2410_37_37_296-34.raw,datasets\head_24\data\normal\drill-0065-0.2410_37_37_296-34.raw,296,26,157,180,181,24,0,"24,37,37"
data,0066,datasets\original\data\normal\drill-0066-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0066-0.2410_37_37_296-1.raw,296,27,235,258,259,24,0,"24,37,37"
data,0067,datasets\original\data\normal\drill-0067-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0067-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0068,datasets\original\data\normal\drill-0068-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0068-0.2410_37_37_296-1.raw,296,27,238,261,262,24,0,"24,37,37"
data,0069,datasets\original\data\normal\drill-0069-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0069-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0070,datasets\original\data\normal\drill-0070-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0070-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0071,datasets\original\data\normal\drill-0071-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0071-0.2410_37_37_296-1.raw,296,27,237,260,261,24,0,"24,37,37"
data,0072,datasets\original\data\normal\drill-0072-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0072-0.2410_37_37_296-1.raw,296,27,245,268,269,24,0,"24,37,37"
data,0073,datasets\original\data\normal\drill-0073-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0073-0.2410_37_37_296-1.raw,296,27,237,260,261,24,0,"24,37,37"
data,0074,datasets\original\data\normal\drill-0074-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0074-0.2410_37_37_296-1.raw,296,27,235,258,259,24,0,"24,37,37"
data,0075,datasets\original\data\normal\drill-0075-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0075-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0076,datasets\original\data\normal\drill-0076-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0076-0.2410_37_37_296-1.raw,296,27,235,258,259,24,0,"24,37,37"
data,0077,datasets\original\data\normal\drill-0077-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0077-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0078,datasets\original\data\normal\drill-0078-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0078-0.2410_37_37_296-1.raw,296,27,237,260,261,24,0,"24,37,37"
data,0079,datasets\original\data\normal\drill-0079-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0079-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0080,datasets\original\data\normal\drill-0080-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0080-0.2410_37_37_296-1.raw,296,27,235,258,259,24,0,"24,37,37"
data,0081,datasets\original\data\normal\drill-0081-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0081-0.2410_37_37_296-1.raw,296,27,235,258,259,24,0,"24,37,37"
data,0082,datasets\original\data\normal\drill-0082-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0082-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0083,datasets\original\data\normal\drill-0083-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0083-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0084,datasets\original\data\normal\drill-0084-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0084-0.2410_37_37_296-1.raw,296,27,235,258,259,24,0,"24,37,37"
data,0085,datasets\original\data\normal\drill-0085-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0085-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0088,datasets\original\data\normal\drill-0088-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0088-0.2410_37_37_296-4.raw,296,27,236,259,260,24,0,"24,37,37"
data,0089,datasets\original\data\normal\drill-0089-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0089-0.2410_37_37_296-4.raw,296,27,238,261,262,24,0,"24,37,37"
